index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
34,"onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",72.526,82.783,10.257,12965.188,18944.477,5979.289,12965.188,15913.3,18944.477,82.782,45690.383,1.052,1.986,5976.177,0.0,37
35,"post: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",82.783,82.785,0.002,18944.48,18944.48,0.0,18944.48,18944.48,18944.48,82.785,45690.383,0.655,0.655,0.0,0.0,1
36,onnx.save,82.785,90.484,7.699,20131.488,18944.531,-1186.957,18944.531,20355.572,20480.535,85.326,47226.387,0.953,1.031,9.394,5932.12,52
37,post: onnx.save,90.484,90.886,0.402,12946.633,12946.633,0.0,12946.633,12946.633,12946.633,90.886,39692.359,0.826,0.826,0.0,0.0,1
38,onnx.load,90.886,90.886,0.0,12946.633,12946.633,0.0,12946.633,12946.633,12946.633,90.886,39692.359,0.578,0.578,0.0,0.0,1
39,post: onnx.load,90.886,149.257,58.37,12095.902,19545.68,7449.777,7776.598,19123.835,27097.191,92.737,65249.832,1.175,29.849,134.5,0.004,814
40,torch.onnx.export,149.257,166.13,16.874,20034.465,13608.305,-6426.16,13608.305,20260.593,28764.188,149.766,55385.641,17.291,40.99,2.917,5969.868,17
41,post: torch.onnx.export,166.13,166.13,0.0,13608.305,13608.305,0.0,13608.305,13608.305,13608.305,166.13,40229.496,1.215,1.215,0.0,0.0,1
42,onnx.load,166.13,166.131,0.0,13608.305,13608.305,0.0,13608.305,13608.305,13608.305,166.131,40229.496,0.85,0.85,0.0,0.0,1
43,post: onnx.load,166.131,166.131,0.0,13608.305,13608.305,0.0,13608.305,13608.305,13608.305,166.131,40229.496,0.595,0.595,0.0,0.0,1
44,"onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",166.131,176.348,10.217,13645.289,19586.98,5941.691,13645.289,16638.481,19586.98,176.347,46208.172,0.943,1.075,5939.083,0.0,36
45,"post: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",176.348,176.35,0.002,19586.98,19586.98,0.0,19586.98,19586.98,19586.98,176.35,46208.172,0.655,0.655,0.0,0.0,1
