index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
89,prefill: post: language pytorch transform,134.147,134.147,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.147,42043.617,0.017,0.017,0.0,0.0,1
90,prefill: dual-qpc export orchestration,134.147,134.147,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.147,42043.617,0.012,0.012,0.0,0.0,1
91,prefill: build dummy inputs,134.147,134.149,0.002,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.149,42043.617,11.003,11.003,0.0,0.0,1
92,prefill: post: build dummy inputs,134.149,134.15,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.149,42043.617,7.702,7.702,0.0,0.0,1
93,prefill: build dynamic axes,134.15,134.15,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.15,42043.617,5.391,5.391,0.0,0.0,1
94,prefill: post: build dynamic axes,134.15,134.15,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.15,42043.617,3.774,3.774,0.0,0.0,1
95,prefill: build output names,134.15,134.15,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.15,42043.617,2.642,2.642,0.0,0.0,1
96,prefill: post: build output names,134.15,134.15,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.15,42043.617,1.849,1.849,0.0,0.0,1
97,prefill: language export,134.15,134.158,0.008,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.158,42043.617,11.92,11.92,0.0,0.0,1
98,prefill: torch.onnx.export,134.158,190.386,56.228,15245.258,23463.562,8218.305,15245.258,15992.376,23463.562,190.384,50262.047,41.277,49.131,3.004,11902.106,11
99,prefill: post: torch.onnx.export,190.386,190.386,0.0,23463.562,23463.562,0.0,23463.562,23463.562,23463.562,190.386,50262.047,31.167,31.167,0.0,0.0,1
100,prefill: language offload pytorch weights,190.386,191.616,1.23,22745.527,13813.508,-8932.02,13813.508,17783.855,22745.527,190.456,49956.016,6.003,22.287,1.986,0.0,14
101,prefill: post: language offload pytorch weights,191.616,191.616,0.0,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,191.616,40611.992,7.102,7.102,0.0,0.0,1
102,prefill: onnx.load,191.616,191.617,0.001,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,191.617,40611.992,4.972,4.972,0.0,0.0,1
103,prefill: post: onnx.load,191.617,191.617,0.0,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,191.617,40611.992,3.48,3.48,0.0,0.0,1
104,"prefill: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",191.617,191.621,0.004,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,191.621,40611.992,3.048,3.048,0.0,0.0,1
105,"prefill: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",191.621,191.622,0.0,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,191.621,40611.992,2.134,2.134,0.0,0.0,1
106,prefill: onnx.save,191.622,191.634,0.013,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,191.634,40611.992,1.678,1.678,0.0,0.0,1
107,prefill: post: onnx.save,191.634,191.877,0.242,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,191.876,40611.992,1.406,1.406,0.0,0.0,1
108,prefill: post: language export,191.877,191.877,0.0,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,191.877,40611.992,0.984,0.984,0.0,0.0,1
109,prefill: post: dual-qpc export orchestration,191.877,191.877,0.0,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,191.877,40611.992,0.689,0.689,0.0,0.0,1
110,prefill: onnx.load,191.877,191.879,0.001,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,191.878,40611.992,2.572,2.572,0.0,0.0,1
111,prefill: post: onnx.load,191.879,191.879,0.0,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,191.879,40611.992,1.8,1.8,0.0,0.0,1
112,prefill: language compile wrapper,191.879,191.879,0.0,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,191.879,40611.992,1.26,1.26,0.0,0.0,1
113,prefill: onnx.load,191.879,191.88,0.001,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,191.88,40611.992,0.882,0.882,0.0,0.0,1
114,prefill: post: onnx.load,191.88,191.881,0.001,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,191.881,40611.992,0.617,0.617,0.0,0.0,1
115,prefill: subprocess.run: qaic-compile,191.881,277.495,85.614,13813.508,13813.508,0.0,13813.508,14545.147,16958.219,273.333,56204.625,1.249,17.316,10.151,5425.617,1656
116,prefill: post: subprocess.run: qaic-compile,277.495,277.496,0.001,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,277.496,40611.992,0.402,0.402,0.0,0.0,1
117,prefill: post: language compile wrapper,277.496,277.496,0.0,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,277.496,40611.992,0.281,0.281,0.0,0.0,1
118,prefill: post: compile request,277.496,277.524,0.028,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,277.496,40611.992,0.281,0.281,0.0,0.0,1
119,Completion,277.524,277.496,-0.028,13813.508,13813.508,0.0,13813.508,13813.508,13813.508,277.496,40611.992,0.281,0.281,0.0,0.0,1
