index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
69,prefill: post: onnx.save,292.739,292.967,0.227,61473.387,61473.387,0.0,61473.387,61473.387,61473.387,292.966,88144.703,0.574,0.574,0.0,0.0,1
70,prefill: post: language export,292.967,292.978,0.011,61365.879,61365.879,0.0,61365.879,61365.879,61365.879,292.978,88037.195,1.015,1.015,0.0,0.0,1
71,prefill: post: dual-qpc export orchestration,292.978,292.978,0.0,61365.879,61365.879,0.0,61365.879,61365.879,61365.879,292.978,88037.195,0.71,0.71,0.0,0.0,1
72,prefill: onnx.load,292.978,292.981,0.002,61365.879,61365.879,0.0,61365.879,61365.879,61365.879,292.98,88037.195,0.497,0.497,0.0,0.0,1
73,prefill: post: onnx.load,292.981,292.981,0.0,61365.879,61365.879,0.0,61365.879,61365.879,61365.879,292.981,88037.195,0.348,0.348,0.0,0.0,1
74,prefill: language compile wrapper,292.981,292.981,0.0,61365.879,61365.879,0.0,61365.879,61365.879,61365.879,292.981,88037.195,0.244,0.244,0.0,0.0,1
75,prefill: onnx.load,292.981,292.983,0.002,61365.879,61365.879,0.0,61365.879,61365.879,61365.879,292.983,88037.195,0.171,0.171,0.0,0.0,1
76,prefill: post: onnx.load,292.983,292.984,0.001,61365.879,61365.879,0.0,61365.879,61365.879,61365.879,292.984,88037.195,0.119,0.119,0.0,0.0,1
77,prefill: subprocess.run: qaic-compile,292.984,322.583,29.599,61365.879,61365.895,0.016,61365.879,61927.326,62146.145,304.905,104220.137,0.795,0.943,4.342,0.08,573
78,prefill: post: subprocess.run: qaic-compile,322.583,322.584,0.0,61365.895,61365.895,0.0,61365.895,61365.895,61365.895,322.584,88037.195,0.384,0.384,0.0,0.0,1
79,prefill: post: language compile wrapper,322.584,322.584,0.0,61365.895,61365.895,0.0,61365.895,61365.895,61365.895,322.584,88037.195,0.269,0.269,0.0,0.0,1
80,prefill: post: compile request,322.584,322.584,0.001,61365.895,61365.895,0.0,61365.895,61365.895,61365.895,322.584,88037.195,0.188,0.188,0.0,0.0,1
81,decode: compile request,322.584,322.585,0.0,61365.895,61365.895,0.0,61365.895,61365.895,61365.895,322.585,88037.195,6.529,6.529,0.0,0.0,1
82,decode: build output names,322.585,322.585,0.0,61365.895,61365.895,0.0,61365.895,61365.895,61365.895,322.585,88037.195,4.571,4.571,0.0,0.0,1
83,decode: post: build output names,322.585,322.585,0.0,61365.895,61365.895,0.0,61365.895,61365.895,61365.895,322.585,88037.195,3.199,3.199,0.0,0.0,1
84,decode: vision pytorch transform,322.585,322.586,0.0,61365.895,61365.895,0.0,61365.895,61365.895,61365.895,322.585,88037.195,2.24,2.24,0.0,0.0,1
85,decode: post: vision pytorch transform,322.586,322.586,0.0,61365.895,61365.895,0.0,61365.895,61365.895,61365.895,322.586,88037.195,1.568,1.568,0.0,0.0,1
86,decode: language pytorch transform,322.586,322.586,0.0,61365.895,61365.895,0.0,61365.895,61365.895,61365.895,322.586,88037.195,1.097,1.097,0.0,0.0,1
87,decode: post: language pytorch transform,322.586,322.586,0.0,61365.895,61365.895,0.0,61365.895,61365.895,61365.895,322.586,88037.195,0.768,0.768,0.0,0.0,1
88,decode: dual-qpc export orchestration,322.586,322.587,0.0,61365.895,61365.895,0.0,61365.895,61365.895,61365.895,322.587,88037.195,0.538,0.538,0.0,0.0,1
89,decode: build dummy inputs,322.587,322.6,0.013,61473.402,61473.402,0.0,61473.402,61473.402,61473.402,322.6,88144.703,11.306,11.306,0.0,0.0,1
90,decode: post: build dummy inputs,322.6,322.6,0.0,61473.402,61473.402,0.0,61473.402,61473.402,61473.402,322.6,88144.703,7.914,7.914,0.0,0.0,1
91,decode: build dynamic axes,322.6,322.6,0.0,61473.402,61473.402,0.0,61473.402,61473.402,61473.402,322.6,88144.703,5.54,5.54,0.0,0.0,1
92,decode: post: build dynamic axes,322.6,322.6,0.0,61473.402,61473.402,0.0,61473.402,61473.402,61473.402,322.6,88144.703,3.878,3.878,0.0,0.0,1
93,decode: build output names,322.6,322.601,0.0,61473.402,61473.402,0.0,61473.402,61473.402,61473.402,322.6,88144.703,32.715,32.715,0.0,0.0,1
