index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
94,prefill: post: build dynamic axes,133.251,133.251,0.0,12747.711,12747.711,0.0,12747.711,12747.711,12747.711,133.251,39898.918,24.734,24.734,0.0,0.0,1
95,prefill: build output names,133.251,133.251,0.0,12747.711,12747.711,0.0,12747.711,12747.711,12747.711,133.251,39898.918,17.314,17.314,0.0,0.0,1
96,prefill: post: build output names,133.251,133.251,0.0,12747.711,12747.711,0.0,12747.711,12747.711,12747.711,133.251,39898.918,12.12,12.12,0.0,0.0,1
97,prefill: language export,133.251,133.259,0.007,12747.711,12747.711,0.0,12747.711,12747.711,12747.711,133.259,39898.918,21.291,21.291,0.0,0.0,1
98,prefill: torch.onnx.export,133.259,488.637,355.378,12757.207,22236.316,9479.109,12757.207,12875.631,22236.316,488.634,49147.227,1.986,26.732,431.813,11902.105,2608
99,prefill: post: torch.onnx.export,488.637,488.637,0.001,22236.316,22236.316,0.0,22236.316,22236.316,22236.316,488.637,49147.227,2.766,2.766,0.0,0.0,1
100,prefill: language offload pytorch weights,488.637,490.069,1.432,21895.371,12892.285,-9003.086,12892.285,17148.062,21895.371,488.671,49147.227,1.507,2.411,1.088,0.0,8
101,prefill: post: language offload pytorch weights,490.069,490.069,0.0,12892.285,12892.285,0.0,12892.285,12892.285,12892.285,490.069,39803.195,0.697,0.697,0.0,0.0,1
102,prefill: onnx.load,490.069,490.071,0.002,12892.285,12892.285,0.0,12892.285,12892.285,12892.285,490.071,39803.195,0.488,0.488,0.0,0.0,1
103,prefill: post: onnx.load,490.071,490.072,0.0,12892.285,12892.285,0.0,12892.285,12892.285,12892.285,490.071,39803.195,0.342,0.342,0.0,0.0,1
104,"prefill: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",490.072,490.076,0.004,12892.285,12892.285,0.0,12892.285,12892.285,12892.285,490.076,39803.195,0.239,0.239,0.0,0.0,1
105,"prefill: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",490.076,490.076,0.0,12892.285,12892.285,0.0,12892.285,12892.285,12892.285,490.076,39803.195,7.744,7.744,0.0,0.0,1
106,prefill: onnx.save,490.076,490.09,0.014,12892.285,12892.285,0.0,12892.285,12892.285,12892.285,490.09,39803.195,5.421,5.421,0.0,0.0,1
107,prefill: post: onnx.save,490.09,490.353,0.263,12892.285,12892.285,0.0,12892.285,12892.285,12892.285,490.352,39803.195,4.036,4.036,0.0,0.0,1
108,prefill: post: language export,490.353,490.353,0.001,12892.285,12892.285,0.0,12892.285,12892.285,12892.285,490.353,39803.195,2.825,2.825,0.0,0.0,1
109,prefill: post: dual-qpc export orchestration,490.353,490.651,0.298,12629.488,12629.488,0.0,12629.488,12629.488,12629.488,490.651,39784.32,2.253,2.253,0.0,0.0,1
110,prefill: onnx.load,490.651,490.654,0.003,12633.09,12633.09,0.0,12633.09,12633.09,12633.09,490.654,39784.32,1.577,1.577,0.0,0.0,1
111,prefill: post: onnx.load,490.654,490.654,0.0,12633.09,12633.09,0.0,12633.09,12633.09,12633.09,490.654,39784.32,1.104,1.104,0.0,0.0,1
112,prefill: language compile wrapper,490.654,490.655,0.0,12633.09,12633.09,0.0,12633.09,12633.09,12633.09,490.655,39784.32,0.773,0.773,0.0,0.0,1
113,prefill: onnx.load,490.655,490.656,0.001,12633.09,12633.09,0.0,12633.09,12633.09,12633.09,490.655,39784.32,0.541,0.541,0.0,0.0,1
114,prefill: post: onnx.load,490.656,490.661,0.005,12633.094,12633.094,0.0,12633.094,12633.094,12633.094,490.661,39784.32,0.808,0.808,0.0,0.0,1
115,prefill: subprocess.run: qaic-compile,490.661,577.929,87.267,12633.129,12633.176,0.047,12633.129,13356.16,15674.949,573.691,55381.641,1.21,14.544,9.346,5425.617,852
116,prefill: post: subprocess.run: qaic-compile,577.929,577.93,0.001,12633.176,12633.176,0.0,12633.176,12633.176,12633.176,577.93,39784.32,0.414,0.414,0.0,0.0,1
117,prefill: post: language compile wrapper,577.93,578.202,0.272,12629.512,12629.512,0.0,12629.512,12629.512,12629.512,578.201,39784.32,0.523,0.523,0.0,0.0,1
118,prefill: post: compile request,578.202,578.375,0.173,12629.57,12629.57,0.0,12629.57,12629.57,12629.57,578.274,39784.32,0.59,0.59,0.0,0.0,1
119,Completion,578.375,578.274,-0.101,12629.57,12629.57,0.0,12629.57,12629.57,12629.57,578.274,39784.32,0.59,0.59,0.0,0.0,1
