index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
42,vision: post: onnx.load,37.118,37.119,0.001,15243.73,15243.73,0.0,15243.73,15243.73,15243.73,37.119,42046.008,2.188,2.188,0.0,0.0,1
43,vision: subprocess.run: qaic-compile,37.119,53.298,16.179,15243.73,15243.73,0.0,15243.73,15503.789,16393.641,38.013,53896.785,0.898,2.98,1102.519,2218.166,159
44,vision: post: subprocess.run: qaic-compile,53.298,53.299,0.001,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.299,42046.008,0.749,0.749,0.0,0.0,1
45,vision: post: vision compile wrapper,53.299,53.299,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.299,42046.008,0.524,0.524,0.0,0.0,1
46,vision: post: compile request,53.299,53.299,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.299,42046.008,0.367,0.367,0.0,0.0,1
47,decode: compile request,53.299,53.3,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.299,42046.008,0.257,0.257,0.0,0.0,1
48,decode: build output names,53.3,53.3,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.3,42046.008,0.18,0.18,0.0,0.0,1
49,decode: post: build output names,53.3,53.3,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.3,42046.008,0.126,0.126,0.0,0.0,1
50,decode: vision pytorch transform,53.3,53.3,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.3,42046.008,0.088,0.088,0.0,0.0,1
51,decode: post: vision pytorch transform,53.3,53.3,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.3,42046.008,0.062,0.062,0.0,0.0,1
52,decode: language pytorch transform,53.3,53.3,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.3,42046.008,0.043,0.043,0.0,0.0,1
53,decode: post: language pytorch transform,53.3,53.3,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.3,42046.008,0.03,0.03,0.0,0.0,1
54,decode: dual-qpc export orchestration,53.3,53.301,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.3,42046.008,0.021,0.021,0.0,0.0,1
55,decode: build dummy inputs,53.301,53.302,0.001,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.301,42046.008,6.852,6.852,0.0,0.0,1
56,decode: post: build dummy inputs,53.302,53.302,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.302,42046.008,4.796,4.796,0.0,0.0,1
57,decode: build dynamic axes,53.302,53.302,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.302,42046.008,3.357,3.357,0.0,0.0,1
58,decode: post: build dynamic axes,53.302,53.302,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.302,42046.008,2.35,2.35,0.0,0.0,1
59,decode: build output names,53.302,53.302,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.302,42046.008,1.645,1.645,0.0,0.0,1
60,decode: post: build output names,53.302,53.302,0.0,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.302,42046.008,1.152,1.152,0.0,0.0,1
61,decode: language export,53.302,53.316,0.014,15243.773,15243.773,0.0,15243.773,15243.773,15243.773,53.316,42046.008,7.27,7.27,0.0,0.0,1
62,decode: torch.onnx.export,53.316,79.039,25.723,15475.086,15247.383,-227.703,15247.383,24668.411,33678.344,54.783,60478.031,20.386,45.44,3.952,11901.649,26
63,decode: post: torch.onnx.export,79.039,79.039,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.039,42046.008,0.883,0.883,0.0,0.0,1
64,decode: language offload pytorch weights,79.039,79.04,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.039,42046.008,0.433,0.433,0.0,0.0,1
65,decode: post: language offload pytorch weights,79.04,79.04,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.04,42046.008,7.47,7.47,0.0,0.0,1
66,decode: onnx.load,79.04,79.041,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.04,42046.008,5.229,5.229,0.0,0.0,1
67,decode: post: onnx.load,79.041,79.041,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.041,42046.008,3.66,3.66,0.0,0.0,1
68,"decode: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",79.041,79.044,0.003,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.044,42046.008,3.349,3.349,0.0,0.0,1
69,"decode: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",79.044,79.044,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.044,42046.008,2.344,2.344,0.0,0.0,1
70,decode: onnx.save,79.044,79.047,0.003,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.047,42046.008,1.641,1.641,0.0,0.0,1
71,decode: post: onnx.save,79.047,79.33,0.284,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.33,42046.008,1.38,1.38,0.0,0.0,1
72,decode: post: language export,79.33,79.331,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.33,42046.008,0.966,0.966,0.0,0.0,1
73,decode: post: dual-qpc export orchestration,79.331,79.331,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.331,42046.008,0.676,0.676,0.0,0.0,1
74,decode: onnx.load,79.331,79.331,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.331,42046.008,0.473,0.473,0.0,0.0,1
75,decode: post: onnx.load,79.331,79.332,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.331,42046.008,0.331,0.331,0.0,0.0,1
