index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
74,"prefill: post: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",81.403,81.406,0.003,14325.234,14325.234,0.0,14325.234,14325.234,14325.234,81.405,483142.203,1.26,1.26,0.0,0.0,1
75,prefill: onnx.save,81.406,89.588,8.182,15512.238,14325.238,-1187.0,14325.238,15743.096,15861.242,84.662,484678.207,0.966,1.159,9.815,5932.401,55
76,prefill: post: onnx.save,89.588,90.133,0.545,8402.215,8402.215,0.0,8402.215,8402.215,8402.215,90.132,477219.18,0.876,0.876,0.0,0.0,1
77,prefill: onnx.load,90.133,90.134,0.002,8402.215,8402.215,0.0,8402.215,8402.215,8402.215,90.134,477219.18,1.963,1.963,0.0,0.0,1
78,prefill: post: onnx.load,90.134,94.215,4.081,7804.473,7676.965,-127.508,2017.176,10140.983,21130.496,92.777,478985.191,7.247,27.548,7.346,0.004,36
79,prefill: torch.onnx.export,94.215,103.147,8.932,7677.535,7720.293,42.758,7677.535,7696.473,7720.293,103.146,476419.176,29.778,41.447,1.399,4783.139,6
80,prefill: post: torch.onnx.export,103.147,103.148,0.0,7720.293,7720.293,0.0,7720.293,7720.293,7720.293,103.147,476419.176,20.913,20.913,0.0,0.0,1
81,prefill: onnx.load,103.148,103.149,0.001,7720.293,7720.293,0.0,7720.293,7720.293,7720.293,103.148,476419.176,14.639,14.639,0.0,0.0,1
82,prefill: post: onnx.load,103.149,103.149,0.0,7720.293,7720.293,0.0,7720.293,7720.293,7720.293,103.149,476419.176,10.247,10.247,0.0,0.0,1
83,"prefill: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",103.149,112.458,9.309,7746.938,12456.312,4709.375,7746.938,10083.54,12456.312,112.456,481155.195,1.525,7.588,4751.485,0.0,38
